연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2023,하,재공급,21A,예하임,"서울특별시 구로구 오리로22나길 16-50 (예하임, 궁동 134-7)",구로구,C,23분,0.00106087,2순위,5점,122
2023,하,재공급,-,청춘가옥,"서울특별시 금천구 독산로50길 130-9, 청춘가옥 (시흥동 3-123)",금천구,C,33분,0.001,1순위,0점,78
2023,하,재공급,26B,신영오피스텔,"서울특별시 금천구 범안로11길 60 (신영오피스텔, 독산동 333-14)",금천구,C,5분,0.001,1순위,6점,78
2023,하,재공급,-,제기홈,"서울특별시 동대문구 경동시장로9가길 21 제기홈 (제기동 846-23,24)",동대문구,B,6분,0.000284404,1순위,5점,31
2023,하,재공급,32A,성지파크빌,"서울특별시 동작구 남부순환로255길 16 (성지파크빌, 사당동 303-42)",동작구,B,8분,0.000106557,1순위,10점,13
2023,하,재공급,-,와이하우스,"서울특별시 성동구 자동차시장3길 93 (와이하우스, 용답동 238-5)",성동구,A,6분,0.000159091,1순위,6점,14
2023,하,재공급,28B,티엘하우스,"서울특별시 송파구 중대로14길 6 (티엘하우스, 가락동 129-11)",송파구,B,1분,0.000595855,1순위,6점,115
2023,하,재공급,42A,다온에코하임,"서울특별시 송파구 거마로9길 24-5 (다온에코하임, 거여동 135-54외)",송파구,B,6분,0.000595855,1순위,6점,115
2023,하,재공급,26B,마천빌,"서울특별시 송파구 성내천로22길 1 (마천빌, 마천동 40-10)",송파구,B,11분,0.000595855,2순위,7점,115
2023,하,재공급,23B,네스트197,"서울특별시 송파구 오금로46길 65 (네스트197, 가락동 197-3)",송파구,B,9분,0.000595855,2순위,7점,115
2023,하,재공급,50A,금성하이츠,"서울특별시 송파구 가락로5길 13-15 (금성하이츠, 석촌동 243-1)",송파구,B,6분,0.000595855,1순위,7점,115
2023,하,재공급,28B,광채빌라,"서울특별시 송파구 삼전로2길 49 (광채빌라, 삼전동 53-19)",송파구,B,8분,0.000595855,1순위,3점,115
2023,하,재공급,22B,에코리움빌,"서울특별시 양천구 남부순환로56가길 14, 에코리움빌 (신월동 197-8)",양천구,B,28분,0.000353982,1순위,2점,40
2023,하,재공급,20B,에코리움빌,"서울특별시 양천구 남부순환로60길 12-10, 에코리움빌 (신월동 197-11외)",양천구,B,29분,0.000353982,1순위,3점,40
2023,하,재공급,19B,에코하임5차,"서울특별시 양천구 목동중앙본로22길 52 (에코하임5차, 목동 231-77)",양천구,B,9분,0.000353982,1순위,2점,40
